Key,id,en
UI_BUTTON_SCAN,Deteksi,Scan
UI_BUTTON_COMPENDIUM,Ensiklopedia,Compendium
UI_BUTTON_SHOP,Toko,Shop
UI_LABEL_ZONE,Zona:,Zone:
UI_LABEL_PLAYERS,Pemain,Players
UI_LABEL_SHARDS,Pecahan Roh,Spirit Shards
UI_LABEL_BOTTLES,Botol,Bottles
UI_LABEL_LEVEL,Level,Level
UI_FILTER_ALL,Semua,All
UI_FILTER_CAPTURED,Tertangkap,Captured
UI_FILTER_UNCAPTURED,Belum Ditangkap,Uncaptured
UI_COMPENDIUM_CAUGHT,"Ditangkap: {count}x","Caught: {count}x"
UI_COMPENDIUM_FIRST,"Pertama kali: {date}","First caught: {date}"
UI_COMPENDIUM_UNKNOWN,???,???
UI_TUTORIAL_SKIP,Lewati,Skip
UI_LABEL_XP,XP,XP
UI_LABEL_RANK,Pangkat,Rank
UI_SHOP_TAB_BOTTLES,Botol,Bottles
UI_SHOP_TAB_COSMETICS,Kosmetik,Cosmetics
UI_SHOP_TAB_BATTLEPASS,Season Pass,Season Pass
UI_SHOP_TAB_BOOSTS,Boost,Boosts
UI_SHOP_BUY,Beli,Buy
UI_SHOP_OWNED,Dimiliki,Owned
UI_SHOP_FREE,Gratis,Free
UI_MINIMAP_LABEL,Peta,Map
UI_PLAYERS_COUNT,"{count} Pemain","{count} Players"
GHOST_POCONG_NAME,Pocong,Pocong
GHOST_KUNTILANAK_NAME,Kuntilanak,Kuntilanak
GHOST_WEWEGOMBEL_NAME,Wewe Gombel,Wewe Gombel
GHOST_BANASPATI_NAME,Banaspati,Banaspati
GHOST_SUNDELBOLONG_NAME,Sundel Bolong,Sundel Bolong
GHOST_TOYOL_NAME,Toyol,Toyol
GHOST_TUYUL_NAME,Tuyul,Tuyul
GHOST_LEAKWEAK_NAME,Leak,Leak
GHOST_GENDERUWOJR_NAME,Genderuwo Jr.,Genderuwo Jr.
GHOST_JENGLOT_NAME,Jenglot,Jenglot
GHOST_RANGDA_NAME,Rangda,Rangda
GHOST_ORANGBUNIAN_NAME,Orang Bunian,Orang Bunian
GHOST_HANTURAYA_NAME,Hantu Raya,Hantu Raya
GHOST_BABINGEPET_NAME,Babi Ngepet,Babi Ngepet
GHOST_PALASIK_NAME,Palasik,Palasik
GHOST_PENANGGALAN_NAME,Penanggalan,Penanggalan
GHOST_ASWANGMILD_NAME,Aswang,Aswang
GHOST_MANANANGGALHALF_NAME,Manananggal,Manananggal
GHOST_KRASUE_NAME,Kra-Sue,Kra-Sue
GHOST_PHIPOP_NAME,Phi Pop,Phi Pop
GHOST_NYIBLORONG_NAME,Nyi Blorong,Nyi Blorong
GHOST_BATARAKALA_NAME,Batara Kala,Batara Kala
GHOST_RANGDATRUE_NAME,Rangda Sejati,True Rangda
GHOST_MAHISASURA_NAME,Mahisasura,Mahisasura
GHOST_LEYAK_NAME,Leyak,Leyak
GHOST_SANTETSPECTER_NAME,Hantu Santet,Santet Specter
GHOST_HANTUKOPEK_NAME,Hantu Kopek,Hantu Kopek
GHOST_NYIROROKIDUL_NAME,Nyi Roro Kidul,Nyi Roro Kidul
GHOST_DEWIDURGA_NAME,Dewi Durga,Dewi Durga
GHOST_BATAGARUSHADOW_NAME,Bayangan Batara Guru,Shadow of Batara Guru
GHOST_POCONG_LORE,"Arwah orang yang belum dibuka tali pocongnya, bergentayangan mencari kebebasan.","The spirit of the deceased whose shroud binding was never untied, wandering in search of freedom."
GHOST_KUNTILANAK_LORE,"Hantu wanita berambut panjang yang menangisi nasibnya di bawah pohon besar saat malam tiba.","A long-haired female spirit who weeps beneath great trees each night, mourning her tragic fate."
GHOST_WEWEGOMBEL_LORE,"Nenek tua berwajah mengerikan yang menculik anak-anak nakal untuk dijadikan teman sepinya.","A terrifying old witch who kidnaps misbehaving children to keep as companions in her loneliness."
GHOST_BANASPATI_LORE,"Api merah berbentuk bola yang melayang di kegelapan malam, jelmaan roh jahat yang haus energi.","A red floating fireball drifting through the darkness — the manifestation of a malevolent energy-hungry spirit."
GHOST_SUNDELBOLONG_LORE,"Wanita cantik berpakaian putih dengan lubang di punggungnya, korban kejahatan yang menuntut balas.","A beautiful woman in white with a hollow in her back — a victim of violence who now seeks revenge."
GHOST_TOYOL_LORE,"Makhluk kecil jelmaan janin yang dipelihara dukun untuk mencuri harta. Gesit dan susah ditangkap.","A tiny spirit resembling an unborn child, raised by shamans to steal wealth. Nimble and hard to catch."
